CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,ScoringMode,WeightSource,DisplayOrder,IsActive
CAT-MULTIPURPOSE-GYM-OBSERVATIONAL-6E97CE,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Observational,0,RecordedOnly,EqualWeight_Unscored,60,True
CAT-PRACTICE-GYM-SIZE-937F6B,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Size,12,Scored,EqualWeight,10,True
CAT-PRACTICE-GYM-FUNCTION-DA1C9B,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Function,12,Scored,EqualWeight,20,True
CAT-PRACTICE-GYM-OCCUPANT-EXPERIENC-72A2F8,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Occupant Experience,12,Scored,EqualWeight,30,True
CAT-PRACTICE-GYM-INFRASTRUCTURE-46F01A,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Infrastructure,12,Scored,EqualWeight,40,True
CAT-PRACTICE-GYM-AMENITIES-F01D2D,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Amenities,12,Scored,EqualWeight,50,True
CAT-ES-GYMNASIUM-SIZE-04FC65,Shared Spaces,SPT-ES-GYMNASIUM-BE0D5E,Size,12,Scored,EqualWeight,10,True
CAT-ES-GYMNASIUM-OCCUPANT-EXPERIENC-432605,Shared Spaces,SPT-ES-GYMNASIUM-BE0D5E,Occupant Experience,12,Scored,EqualWeight,20,True
CAT-ES-GYMNASIUM-AMENITIES-35A8E9,Shared Spaces,SPT-ES-GYMNASIUM-BE0D5E,Amenities,12,Scored,EqualWeight,30,True
CAT-ES-GYMNASIUM-INFRASTRUCTURE-9A92E5,Shared Spaces,SPT-ES-GYMNASIUM-BE0D5E,Infrastructure,12,Scored,EqualWeight,40,True
CAT-ES-GYMNASIUM-FUNCTION-11FD08,Shared Spaces,SPT-ES-GYMNASIUM-BE0D5E,Function,12,Scored,EqualWeight,50,True
CAT-WEIGHT-ROOM-SIZE-3489CC,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Size,12,Scored,EqualWeight,10,True
CAT-WEIGHT-ROOM-FUNCTION-55F532,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Function,12,Scored,EqualWeight,20,True
CAT-WEIGHT-ROOM-AMENITIES-5C97E5,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Amenities,12,Scored,EqualWeight,30,True
CAT-WEIGHT-ROOM-OCCUPANT-EXPERIENC-F78862,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-WEIGHT-ROOM-INFRASTRUCTURE-E9A8D6,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Infrastructure,12,Scored,EqualWeight,50,True
CAT-WRESTLING-SIZE-434976,Athletics and Wellness,SPT-WRESTLING-A78FB6,Size,12,Scored,EqualWeight,10,True
CAT-WRESTLING-FUNCTION-27DCEC,Athletics and Wellness,SPT-WRESTLING-A78FB6,Function,12,Scored,EqualWeight,20,True
CAT-WRESTLING-AMENITIES-A5EEF1,Athletics and Wellness,SPT-WRESTLING-A78FB6,Amenities,12,Scored,EqualWeight,30,True
CAT-WRESTLING-OCCUPANT-EXPERIENC-7C2530,Athletics and Wellness,SPT-WRESTLING-A78FB6,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-WRESTLING-INFRASTRUCTURE-BE3E2A,Athletics and Wellness,SPT-WRESTLING-A78FB6,Infrastructure,12,Scored,EqualWeight,50,True
CAT-LOCKER-ROOMS-SIZE-20B115,Athletics and Wellness,SPT-LOCKER-ROOMS-5ED7DB,Size,12,Scored,EqualWeight,10,True
CAT-LOCKER-ROOMS-FUNCTION-F3A348,Athletics and Wellness,SPT-LOCKER-ROOMS-5ED7DB,Function,12,Scored,EqualWeight,20,True
CAT-LOCKER-ROOMS-OCCUPANT-EXPERIENC-D9024C,Athletics and Wellness,SPT-LOCKER-ROOMS-5ED7DB,Occupant Experience,12,Scored,EqualWeight,30,True
CAT-LOCKER-ROOMS-INFRASTRUCTURE-567374,Athletics and Wellness,SPT-LOCKER-ROOMS-5ED7DB,Infrastructure,12,Scored,EqualWeight,40,True
CAT-PE-FITNESS-ROOM-SIZE-6D1744,Athletics and Wellness,SPT-PE-FITNESS-ROOM-F9EFD1,Size,12,Scored,EqualWeight,10,True
CAT-PE-FITNESS-ROOM-FUNCTION-9247CE,Athletics and Wellness,SPT-PE-FITNESS-ROOM-F9EFD1,Function,12,Scored,EqualWeight,20,True
CAT-PE-FITNESS-ROOM-AMENITIES-146AEA,Athletics and Wellness,SPT-PE-FITNESS-ROOM-F9EFD1,Amenities,12,Scored,EqualWeight,30,True
CAT-PE-FITNESS-ROOM-INFRASTRUCTURE-E77F86,Athletics and Wellness,SPT-PE-FITNESS-ROOM-F9EFD1,Infrastructure,12,Scored,EqualWeight,40,True
CAT-ATHLETICS-WING-SIZE-C453B7,Athletics and Wellness,SPT-ATHLETICS-WING-31743B,Size,12,Scored,EqualWeight,10,True
CAT-ATHLETICS-WING-FUNCTION-14FFDA,Athletics and Wellness,SPT-ATHLETICS-WING-31743B,Function,12,Scored,EqualWeight,20,True
CAT-ATHLETICS-WING-AMENITIES-5797E7,Athletics and Wellness,SPT-ATHLETICS-WING-31743B,Amenities,12,Scored,EqualWeight,30,True
CAT-OUTDOOR-ATHLETIC-SIZE-9CE0E2,Athletics and Wellness,SPT-OUTDOOR-ATHLETICS-DEC8BC,Size,12,Scored,EqualWeight,10,True
CAT-OUTDOOR-ATHLETIC-FUNCTION-A63ABB,Athletics and Wellness,SPT-OUTDOOR-ATHLETICS-DEC8BC,Function,12,Scored,EqualWeight,20,True
CAT-OUTDOOR-ATHLETIC-INFRASTRUCTURE-74D333,Athletics and Wellness,SPT-OUTDOOR-ATHLETICS-DEC8BC,Infrastructure,12,Scored,EqualWeight,30,True
CAT-OUTDOOR-ATHLETIC-AMENITIES-47CB0A,Athletics and Wellness,SPT-OUTDOOR-ATHLETICS-DEC8BC,Amenities,12,Scored,EqualWeight,40,True
CAT-DINING-COMMONS-SIZE-987565,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Size,12,Scored,EqualWeight,10,True
CAT-DINING-COMMONS-OCCUPANT-EXPERIENC-564FEC,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Occupant Experience,12,Scored,EqualWeight,20,True
CAT-DINING-COMMONS-INFRASTRUCTURE-3C5972,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Infrastructure,12,Scored,EqualWeight,30,True
CAT-DINING-COMMONS-FUNCTION-A797AA,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Function,12,Scored,EqualWeight,40,True
CAT-DINING-COMMONS-AMENITIES-980C40,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Amenities,12,Scored,EqualWeight,50,True
