OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-MW-001-01,MW-001,MW-001a,Yes,1,SingleResponse,SR-MW-001-MW-001A,False,10,True
OPT-MW-001-02,MW-001,MW-001a,No,,SingleResponse,SR-MW-001-MW-001A,False,20,True
OPT-MW-001-03,MW-001,MW-001a,Unable to assess (note reason),,SingleResponse,SR-MW-001-MW-001A,True,30,True
OPT-MW-002-01,MW-002,MW-002a,Yes,1,SingleResponse,SR-MW-002-MW-002A,False,10,True
OPT-MW-002-02,MW-002,MW-002a,No,,SingleResponse,SR-MW-002-MW-002A,False,20,True
OPT-MW-002-03,MW-002,MW-002a,Unable to assess (note reason),,SingleResponse,SR-MW-002-MW-002A,True,30,True
OPT-MW-003-01,MW-003,MW-003a,Professional School Counselor office,1,SingleResponse,SR-MW-003-MW-003A,False,10,True
OPT-MW-003-02,MW-003,MW-003b,Core counseling,1,SingleResponse,SR-MW-003-MW-003B,False,20,True
OPT-MW-003-03,MW-003,MW-003c,"Wellness room (i.e., brain lab)",1,SingleResponse,SR-MW-003-MW-003C,False,30,True
OPT-MW-003-04,MW-003,MW-003d,School mental health center,1,SingleResponse,SR-MW-003-MW-003D,False,40,True
OPT-MW-003-05,MW-003,MW-003e,Extended school counseling space,1,SingleResponse,SR-MW-003-MW-003E,False,50,True
OPT-MW-003-06,MW-003,MW-003i,Operable partition,,Inventory,INV-MW-003-MW-003I,False,60,True
OPT-MW-004-01,MW-004,MW-004a,Professional School Counselor offices,1,SingleResponse,SR-MW-004-MW-004A,False,10,True
OPT-MW-004-02,MW-004,MW-004b,Reception / registrar,1,SingleResponse,SR-MW-004-MW-004B,False,20,True
OPT-MW-004-03,MW-004,MW-004c,Conference room,1,SingleResponse,SR-MW-004-MW-004C,False,30,True
OPT-MW-004-04,MW-004,MW-004d,Storage (records),1,SingleResponse,SR-MW-004-MW-004D,False,40,True
OPT-MW-004-05,MW-004,MW-004e,"Wellness room (i.e., brain lab)",1,SingleResponse,SR-MW-004-MW-004E,False,50,True
OPT-MW-004-06,MW-004,MW-004f,School mental health center,1,SingleResponse,SR-MW-004-MW-004F,False,60,True
OPT-MW-004-07,MW-004,MW-004g,Extended school counseling space,1,SingleResponse,SR-MW-004-MW-004G,False,70,True
OPT-MW-004-08,MW-004,MW-004h,Extended school counselor office,1,SingleResponse,SR-MW-004-MW-004H,False,80,True
OPT-MW-004-09,MW-004,MW-004j,Small group room,1,SingleResponse,SR-MW-004-MW-004J,False,90,True
OPT-MW-005-01,MW-005,MW-005a,Professional School Counselor offices,1,SingleResponse,SR-MW-005-MW-005A,False,10,True
OPT-MW-005-02,MW-005,MW-005b,Reception / registrar,1,SingleResponse,SR-MW-005-MW-005B,False,20,True
OPT-MW-005-03,MW-005,MW-005c,Conference room,1,SingleResponse,SR-MW-005-MW-005C,False,30,True
OPT-MW-005-04,MW-005,MW-005d,Storage (records),1,SingleResponse,SR-MW-005-MW-005D,False,40,True
OPT-MW-005-05,MW-005,MW-005e,"Wellness room (i.e., brain lab)",1,SingleResponse,SR-MW-005-MW-005E,False,50,True
OPT-MW-005-06,MW-005,MW-005f,School mental health center,1,SingleResponse,SR-MW-005-MW-005F,False,60,True
OPT-MW-005-07,MW-005,MW-005g,Extended school counseling space,1,SingleResponse,SR-MW-005-MW-005G,False,70,True
OPT-MW-005-08,MW-005,MW-005h,Extended school counselor office,1,SingleResponse,SR-MW-005-MW-005H,False,80,True
OPT-MW-005-09,MW-005,MW-005j,Small group room,1,SingleResponse,SR-MW-005-MW-005J,False,90,True
OPT-MW-005-10,MW-005,MW-005k,College/career center,1,SingleResponse,SR-MW-005-MW-005K,False,100,True
OPT-MW-006-01,MW-006,MW-006a,0,,SingleResponse,SR-MW-006-MW-006A,False,10,True
OPT-MW-006-02,MW-006,MW-006a,1,1,SingleResponse,SR-MW-006-MW-006A,False,20,True
OPT-MW-006-03,MW-006,MW-006a,2+,1,SingleResponse,SR-MW-006-MW-006A,False,30,True
OPT-MW-006-04,MW-006,MW-006a,Unable to assess (note reason),,SingleResponse,SR-MW-006-MW-006A,True,40,True
OPT-MW-007-01,MW-007,MW-007a,0,,SingleResponse,SR-MW-007-MW-007A,False,10,True
