SubcategoryID,CategoryID,ScoreFocusArea,SubcategoryName,SubcategoryWeight,WeightSource,DisplayOrder,IsActive
SUB-SCIENCE-OCCUPANT-E-OCCUPANT-COMFORT-265548,CAT-SCIENCE-OCCUPANT-EXPERIENCE-79D4C8,Studios,Occupant Comfort,3,Source,20,True
SUB-SCIENCE-AMENITIES-STORAGE-5E5880,CAT-SCIENCE-AMENITIES-5052F9,Studios,Storage,3,Source,10,True
SUB-SCIENCE-AMENITIES-DISPLAY-AND-PRESENTA-78D736,CAT-SCIENCE-AMENITIES-5052F9,Studios,Display and Presentation,3,Source,20,True
SUB-SCIENCE-OCCUPANT-E-SAFETY-AND-SUPERVISI-71E82E,CAT-SCIENCE-OCCUPANT-EXPERIENCE-79D4C8,Studios,Safety and Supervision,3,Source,30,True
SUB-SCIENCE-AMENITIES-FURNITURE-AND-EQUIPM-AC4879,CAT-SCIENCE-AMENITIES-5052F9,Studios,Furniture and Equipment,3,Source,30,True
SUB-SCIENCE-INFRASTRUC-FLOORING-AND-SURFACE-98EE57,CAT-SCIENCE-INFRASTRUCTURE-770C92,Studios,Flooring and Surface Finishes,3,Source,20,True
SUB-SCIENCE-FUNCTION-ADJACENCY-AND-ACCESS-1C6CCB,CAT-SCIENCE-FUNCTION-A9E6DD,Studios,Adjacency and Access,3,Source,30,True
SUB-SCIENCE-PREP-FUNCTION-ADJACENCY-AND-ACCESS-D15855,CAT-SCIENCE-PREP-ROO-FUNCTION-B84F12,Studios,Adjacency and Access,3,Source,10,True
SUB-SCIENCE-PREP-FUNCTION-CIRCULATION-AND-EGRE-DEFDFB,CAT-SCIENCE-PREP-ROO-FUNCTION-B84F12,Studios,Circulation and Egress,3,Source,20,True
SUB-SCIENCE-PREP-AMENITIES-STORAGE-F28C9E,CAT-SCIENCE-PREP-ROO-AMENITIES-95F4A0,Studios,Storage,3,Source,10,True
SUB-SCIENCE-PREP-OCCUPANT-E-SAFETY-AND-SUPERVISI-24723A,CAT-SCIENCE-PREP-ROO-OCCUPANT-EXPERIENCE-9272F6,Studios,Safety and Supervision,3,Source,10,True
SUB-SCIENCE-PREP-INFRASTRUC-UTILITIES-AND-TECHNO-B4FB7B,CAT-SCIENCE-PREP-ROO-INFRASTRUCTURE-3AD124,Studios,Utilities and Technology,3,Source,10,True
SUB-MAIN-ADMIN-S-FUNCTION-AVAILABILITY-071DF9,CAT-MAIN-ADMIN-SUITE-FUNCTION-8447F5,Arrival/Administration,Availability,12,Source,10,True
SUB-MAIN-ADMIN-S-INFRASTRUC-UTILITIES-AND-TECHNO-6FCC3E,CAT-MAIN-ADMIN-SUITE-INFRASTRUCTURE-7629D5,Arrival/Administration,Utilities and Technology,9,Source,10,True
