CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-PROFESSIONAL-LEA-AMENITIES-AD46EC,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER-A2E7B5,Amenities,9,Source,50,True
CAT-MAIN-ENTRY-RECEP-OCCUPANT-EXPERIENCE-7CD2FD,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION-CC5A87,Occupant Experience,12,Source,20,True
CAT-MAIN-ENTRY-RECEP-FUNCTION-E122F9,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION-CC5A87,Function,12,Source,30,True
CAT-MAIN-ENTRY-RECEP-AMENITIES-10BE28,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION-CC5A87,Amenities,9,Source,40,True
CAT-MAIN-ENTRY-RECEP-INFRASTRUCTURE-366D5D,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION-CC5A87,Infrastructure,6,Assumed,50,True
CAT-SCIENCE-FUNCTION-A9E6DD,Studios,SPT-SCIENCE-2593B2,Function,3,Source,20,True
CAT-SCIENCE-INFRASTRUCTURE-770C92,Studios,SPT-SCIENCE-2593B2,Infrastructure,3,Source,30,True
CAT-SCIENCE-OCCUPANT-EXPERIENCE-79D4C8,Studios,SPT-SCIENCE-2593B2,Occupant Experience,3,Source,40,True
CAT-SCIENCE-AMENITIES-5052F9,Studios,SPT-SCIENCE-2593B2,Amenities,3,Source,50,True
CAT-SCIENCE-PREP-ROO-FUNCTION-B84F12,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Function,3,Source,20,True
CAT-SCIENCE-PREP-ROO-AMENITIES-95F4A0,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Amenities,3,Source,30,True
CAT-SCIENCE-PREP-ROO-OCCUPANT-EXPERIENCE-9272F6,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Occupant Experience,3,Source,40,True
CAT-SCIENCE-PREP-ROO-INFRASTRUCTURE-3AD124,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Infrastructure,3,Source,50,True
CAT-MAIN-ADMIN-SUITE-FUNCTION-8447F5,Arrival/Administration,SPT-MAIN-ADMIN-SUITE-6009C0,Function,12,Source,30,True
CAT-MAIN-ADMIN-SUITE-INFRASTRUCTURE-7629D5,Arrival/Administration,SPT-MAIN-ADMIN-SUITE-6009C0,Infrastructure,9,Source,40,True
CAT-MAIN-ADMIN-SUITE-AMENITIES-E04AEB,Arrival/Administration,SPT-MAIN-ADMIN-SUITE-6009C0,Amenities,6,Source,50,True
CAT-EARLY-CHILDHOOD--FUNCTION-644BC4,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Function,12,Source,20,True
CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-6A12F4,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Infrastructure,6,Source,30,True
CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-CE4284,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Occupant Experience,12,Source,40,True
