OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-ST-022-01,ST-022,ST-022a,Good - appears relatively new or has minimal wear,1,SingleResponse,SR-ST-022-ST-022A,False,10,True
OPT-ST-022-02,ST-022,ST-022a,"Fair - some furniture is noticeably worn or aging, but all is functional",0.5,SingleResponse,SR-ST-022-ST-022A,False,20,True
OPT-ST-022-03,ST-022,ST-022a,"Poor - some or all furniture is significantly worn, damaged, or not usable",0,SingleResponse,SR-ST-022-ST-022A,False,30,True
OPT-ST-023-01,ST-023,ST-023i,"Resilient flooring (e.g., vinyl, rubber)",,Inventory,INV-ST-023-ST-023I,False,10,True
OPT-ST-023-02,ST-023,ST-023i,Terrazzo,,Inventory,INV-ST-023-ST-023I,False,20,True
OPT-ST-023-03,ST-023,ST-023i,Polished concrete,,Inventory,INV-ST-023-ST-023I,False,30,True
OPT-ST-023-04,ST-023,ST-023i,"Carpet (i.e., not a loose rug)",,Inventory,INV-ST-023-ST-023I,False,40,True
OPT-ST-023-05,ST-023,ST-023i,Other (please note),,Inventory,INV-ST-023-ST-023I,False,50,True
OPT-ST-023-06,ST-023,ST-023i,Unable to assess (note reason),,Inventory,INV-ST-023-ST-023I,True,60,True
OPT-ST-024-01,ST-024,ST-024a,Direct access to a collaboration space,1,SingleResponse,SR-ST-024-ST-024A,False,10,True
OPT-ST-024-02,ST-024,ST-024a,Visibility into a collaboration space only,0.5,SingleResponse,SR-ST-024-ST-024A,False,20,True
OPT-ST-024-03,ST-024,ST-024a,Neither access nor visibility,0,SingleResponse,SR-ST-024-ST-024A,False,30,True
OPT-ST-024-04,ST-024,ST-024a,Unable to assess (note reason),,SingleResponse,SR-ST-024-ST-024A,True,40,True
OPT-ST-025-01,ST-025,ST-025a,Exterior door within the space,1,SingleResponse,SR-ST-025-ST-025A,False,10,True
OPT-ST-025-02,ST-025,ST-025a,Exterior door directly outside the space,0.5,SingleResponse,SR-ST-025-ST-025A,False,20,True
OPT-ST-025-03,ST-025,ST-025a,Neither,0,SingleResponse,SR-ST-025-ST-025A,False,30,True
OPT-ST-025-04,ST-025,ST-025a,Unable to assess (note reason),,SingleResponse,SR-ST-025-ST-025A,True,40,True
OPT-ST-026-01,ST-026,ST-026i,Sink,,Inventory,INV-ST-026-ST-026I,False,10,True
OPT-ST-026-02,ST-026,ST-026i,Laptop storage or charging cart,,Inventory,INV-ST-026-ST-026I,False,20,True
OPT-ST-026-03,ST-026,ST-026i,PA speaker,,Inventory,INV-ST-026-ST-026I,False,30,True
OPT-OD-001-01,OD-001,OD-001a,Early childhood playground (PreK-K),1,SingleResponse,SR-OD-001-OD-001A,False,10,True
OPT-OD-001-02,OD-001,OD-001b,Elementary playground (1st-5th),1,SingleResponse,SR-OD-001-OD-001B,False,20,True
OPT-OD-001-03,OD-001,OD-001c,Buddy bench,1,SingleResponse,SR-OD-001-OD-001C,False,30,True
OPT-OD-001-04,OD-001,OD-001d,Cushioned play surfacing,1,SingleResponse,SR-OD-001-OD-001D,False,40,True
OPT-OD-001-05,OD-001,OD-001e,Shade elements,1,SingleResponse,SR-OD-001-OD-001E,False,50,True
OPT-OD-002-01,OD-002,OD-002a,Artwork,1,SingleResponse,SR-OD-002-OD-002A,False,10,True
OPT-OD-002-02,OD-002,OD-002b,Dry creek bed,1,SingleResponse,SR-OD-002-OD-002B,False,20,True
OPT-OD-002-03,OD-002,OD-002c,Educational signage,1,SingleResponse,SR-OD-002-OD-002C,False,30,True
OPT-OD-002-04,OD-002,OD-002d,Flexible seating,1,SingleResponse,SR-OD-002-OD-002D,False,40,True
OPT-OD-002-05,OD-002,OD-002e,Fixed seating,1,SingleResponse,SR-OD-002-OD-002E,False,50,True
OPT-OD-002-06,OD-002,OD-002f,Mulch planting bed,1,SingleResponse,SR-OD-002-OD-002F,False,60,True
OPT-OD-002-07,OD-002,OD-002g,Nature-based play,1,SingleResponse,SR-OD-002-OD-002G,False,70,True
OPT-OD-002-08,OD-002,OD-002h,Outdoor music,1,SingleResponse,SR-OD-002-OD-002H,False,80,True
OPT-OD-002-09,OD-002,OD-002j,Pollinator plantings,1,SingleResponse,SR-OD-002-OD-002J,False,90,True
OPT-OD-002-10,OD-002,OD-002k,Sensory path,1,SingleResponse,SR-OD-002-OD-002K,False,100,True
OPT-OD-002-11,OD-002,OD-002l,Storage,1,SingleResponse,SR-OD-002-OD-002L,False,110,True
OPT-OD-002-12,OD-002,OD-002m,Synthetic turf surfacing,1,SingleResponse,SR-OD-002-OD-002M,False,120,True
OPT-OD-002-13,OD-002,OD-002n,Worktables,1,SingleResponse,SR-OD-002-OD-002N,False,130,True
OPT-OD-003-01,OD-003,OD-003a,Yes,1,SingleResponse,SR-OD-003-OD-003A,False,10,True
OPT-OD-003-02,OD-003,OD-003a,No,0,SingleResponse,SR-OD-003-OD-003A,False,20,True
OPT-OD-003-03,OD-003,OD-003a,Unable to assess (note reason),,SingleResponse,SR-OD-003-OD-003A,True,30,True
OPT-OD-004-01,OD-004,OD-004a,Yes,1,SingleResponse,SR-OD-004-OD-004A,False,10,True
OPT-OD-004-02,OD-004,OD-004a,No,0,SingleResponse,SR-OD-004-OD-004A,False,20,True
OPT-OD-004-03,OD-004,OD-004a,Unable to assess (note reason),,SingleResponse,SR-OD-004-OD-004A,True,30,True
OPT-OD-005-01,OD-005,OD-005a,Yes,1,SingleResponse,SR-OD-005-OD-005A,False,10,True
OPT-OD-005-02,OD-005,OD-005a,No,0,SingleResponse,SR-OD-005-OD-005A,False,20,True
OPT-OD-005-03,OD-005,OD-005a,Unable to assess (note reason),,SingleResponse,SR-OD-005-OD-005A,True,30,True
OPT-OD-006-01,OD-006,OD-006i,Slides,,Inventory,INV-OD-006-OD-006I,False,10,True
OPT-OD-006-02,OD-006,OD-006i,Independent swings,,Inventory,INV-OD-006-OD-006I,False,20,True
OPT-OD-006-03,OD-006,OD-006i,Ropes and/or climbing structures,,Inventory,INV-OD-006-OD-006I,False,30,True
OPT-OD-006-04,OD-006,OD-006i,Spinning equipment,,Inventory,INV-OD-006-OD-006I,False,40,True
OPT-OD-006-05,OD-006,OD-006i,Swaying equipment,,Inventory,INV-OD-006-OD-006I,False,50,True
OPT-OD-006-06,OD-006,OD-006i,"Musical instrument equipment (e.g., percussion play)",,Inventory,INV-OD-006-OD-006I,False,60,True
OPT-OD-006-07,OD-006,OD-006i,Balancing and/or jumping equipment,,Inventory,INV-OD-006-OD-006I,False,70,True
OPT-OD-007-01,OD-007,OD-007a,Grassy hills or landforms,1,SingleResponse,SR-OD-007-OD-007A,False,10,True
OPT-OD-007-02,OD-007,OD-007b,Rock-climbing or boulder-play elements,1,SingleResponse,SR-OD-007-OD-007B,False,20,True
OPT-OD-007-03,OD-007,OD-007c,"Logs, stumps, or natural balancing elements",1,SingleResponse,SR-OD-007-OD-007C,False,30,True
OPT-OD-008-01,OD-008,OD-008a,Basketball hoop(s),1,SingleResponse,SR-OD-008-OD-008A,False,10,True
OPT-OD-008-02,OD-008,OD-008b,Funnel ball equipment,1,SingleResponse,SR-OD-008-OD-008B,False,20,True
OPT-OD-008-03,OD-008,OD-008c,Tetherball equipment,1,SingleResponse,SR-OD-008-OD-008C,False,30,True
OPT-OD-008-04,OD-008,OD-008d,Four-square courts or markings,1,SingleResponse,SR-OD-008-OD-008D,False,40,True
